"true","Shack","Aguacate, San Antonio","Puerto Rico","18.5148","","Shoreline is flat shelf. Long but narrow sandy beach. Launch from point and stay leeward of exposed reef rock. Land same area or downwind sandy spots. Good to walk the bay to get a feel for rocky/sandy sections of beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr1","[{:month=>1, :stat=>47}, {:month=>2, :stat=>47}, {:month=>3, :stat=>52}, {:month=>4, :stat=>48}, {:month=>5, :stat=>41}, {:month=>6, :stat=>47}, {:month=>7, :stat=>59}, {:month=>8, :stat=>53}, {:month=>9, :stat=>36}, {:month=>10, :stat=>31}, {:month=>11, :stat=>39}, {:month=>12, :stat=>52}]"
"true","Punta Las Marias ","San Juan","Puerto Rico","18.4531","","Soft sand, designated swimming areas with small channels to exit. The only draw back is the hot-launch you have to do. Be sure to keep the kite over the water and body drag out for the first 10 meters or so. Body drag in to beach after session.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr2","[{:month=>1, :stat=>40}, {:month=>2, :stat=>42}, {:month=>3, :stat=>45}, {:month=>4, :stat=>42}, {:month=>5, :stat=>38}, {:month=>6, :stat=>47}, {:month=>7, :stat=>52}, {:month=>8, :stat=>45}, {:month=>9, :stat=>32}, {:month=>10, :stat=>26}, {:month=>11, :stat=>29}, {:month=>12, :stat=>41}]"
"true","Tamarindo Beach ","Ponce, Guanica","Puerto Rico","17.9561","","Small sandy beach. Long bay, enough space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr5","[{:month=>1, :stat=>45}, {:month=>2, :stat=>56}, {:month=>3, :stat=>41}, {:month=>4, :stat=>50}, {:month=>5, :stat=>56}, {:month=>6, :stat=>68}, {:month=>7, :stat=>77}, {:month=>8, :stat=>59}, {:month=>9, :stat=>44}, {:month=>10, :stat=>43}, {:month=>11, :stat=>29}, {:month=>12, :stat=>35}]"
"true","Jobos Beach ","Isabela, Jobos","Puerto Rico","18.5137","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr1","[{:month=>1, :stat=>47}, {:month=>2, :stat=>47}, {:month=>3, :stat=>52}, {:month=>4, :stat=>48}, {:month=>5, :stat=>41}, {:month=>6, :stat=>47}, {:month=>7, :stat=>59}, {:month=>8, :stat=>53}, {:month=>9, :stat=>36}, {:month=>10, :stat=>31}, {:month=>11, :stat=>39}, {:month=>12, :stat=>52}]"
"true","La Parguera ","La Parguera","Puerto Rico","17.9628","","No real beach. You need a boat to get to the spots and need to start from the water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr5","[{:month=>1, :stat=>45}, {:month=>2, :stat=>56}, {:month=>3, :stat=>41}, {:month=>4, :stat=>50}, {:month=>5, :stat=>56}, {:month=>6, :stat=>68}, {:month=>7, :stat=>77}, {:month=>8, :stat=>59}, {:month=>9, :stat=>44}, {:month=>10, :stat=>43}, {:month=>11, :stat=>29}, {:month=>12, :stat=>35}]"
"true","Isabella Beach ","Isabela","Puerto Rico","18.5088","","Nice, sandy bay with lots of space. At the west end far away there are some big rocks with shore break","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr1","[{:month=>1, :stat=>47}, {:month=>2, :stat=>47}, {:month=>3, :stat=>52}, {:month=>4, :stat=>48}, {:month=>5, :stat=>41}, {:month=>6, :stat=>47}, {:month=>7, :stat=>59}, {:month=>8, :stat=>53}, {:month=>9, :stat=>36}, {:month=>10, :stat=>31}, {:month=>11, :stat=>39}, {:month=>12, :stat=>52}]"
"true","Los Caballos ","San Juan","Puerto Rico","18.4593","","Sandy beach close by the point. Launch from here or from a boat to get to the break. Flat reefs in front of the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr2","[{:month=>1, :stat=>40}, {:month=>2, :stat=>42}, {:month=>3, :stat=>45}, {:month=>4, :stat=>42}, {:month=>5, :stat=>38}, {:month=>6, :stat=>47}, {:month=>7, :stat=>52}, {:month=>8, :stat=>45}, {:month=>9, :stat=>32}, {:month=>10, :stat=>26}, {:month=>11, :stat=>29}, {:month=>12, :stat=>41}]"
"true","Isla Verde ","San Juan","Puerto Rico","18.4448","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr2","[{:month=>1, :stat=>40}, {:month=>2, :stat=>42}, {:month=>3, :stat=>45}, {:month=>4, :stat=>42}, {:month=>5, :stat=>38}, {:month=>6, :stat=>47}, {:month=>7, :stat=>52}, {:month=>8, :stat=>45}, {:month=>9, :stat=>32}, {:month=>10, :stat=>26}, {:month=>11, :stat=>29}, {:month=>12, :stat=>41}]"
"true","Rio Mar Beach ","Luquillo","Puerto Rico","18.394","","Small beach. Some sun bathers around.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=pr7","[{:month=>1, :stat=>29}, {:month=>2, :stat=>23}, {:month=>3, :stat=>30}, {:month=>4, :stat=>25}, {:month=>5, :stat=>18}, {:month=>6, :stat=>20}, {:month=>7, :stat=>28}, {:month=>8, :stat=>22}, {:month=>9, :stat=>12}, {:month=>10, :stat=>9}, {:month=>11, :stat=>21}, {:month=>12, :stat=>36}]"
"true","Grand Cul ","Grand Cul de Sac","Saint Barthelemy ","17.9096","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=gp3","[{:month=>1, :stat=>51}, {:month=>2, :stat=>51}, {:month=>3, :stat=>39}, {:month=>4, :stat=>41}, {:month=>5, :stat=>27}, {:month=>6, :stat=>30}, {:month=>7, :stat=>47}, {:month=>8, :stat=>35}, {:month=>9, :stat=>28}, {:month=>10, :stat=>19}, {:month=>11, :stat=>43}, {:month=>12, :stat=>43}]"
"true","Frigate Bay ","Frigate Bay","Saint Kitts and Nevis","17.2934","","The beach has beautiful white fine sand. It has lots of space to safely land and launch your kite.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=kn1","[{:month=>1, :stat=>58}, {:month=>2, :stat=>57}, {:month=>3, :stat=>49}, {:month=>4, :stat=>45}, {:month=>5, :stat=>44}, {:month=>6, :stat=>55}, {:month=>7, :stat=>66}, {:month=>8, :stat=>48}, {:month=>9, :stat=>27}, {:month=>10, :stat=>30}, {:month=>11, :stat=>35}, {:month=>12, :stat=>56}]"
"true","North Friars Bay ","Basseterre","Saint Kitts and Nevis","17.2785","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=kn1","[{:month=>1, :stat=>58}, {:month=>2, :stat=>57}, {:month=>3, :stat=>49}, {:month=>4, :stat=>45}, {:month=>5, :stat=>44}, {:month=>6, :stat=>55}, {:month=>7, :stat=>66}, {:month=>8, :stat=>48}, {:month=>9, :stat=>27}, {:month=>10, :stat=>30}, {:month=>11, :stat=>35}, {:month=>12, :stat=>56}]"
"true","Marriott ","Basseterre","Saint Kitts and Nevis","17.293","","To launch a kite walk further left, away from the sun umbrellas.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=kn1","[{:month=>1, :stat=>58}, {:month=>2, :stat=>57}, {:month=>3, :stat=>49}, {:month=>4, :stat=>45}, {:month=>5, :stat=>44}, {:month=>6, :stat=>55}, {:month=>7, :stat=>66}, {:month=>8, :stat=>48}, {:month=>9, :stat=>27}, {:month=>10, :stat=>30}, {:month=>11, :stat=>35}, {:month=>12, :stat=>56}]"
"true","Anse ","Vieux Fort","Saint Lucia","13.7278","","The beach stretches for about 2 km length and it consists of soft and nice sand. On the leeward side of the bay, the peninsula of Moule a' Chique borders the sickle shaped beach preventing the kitesurfers from drifting off. The kitesurfing area is located leeward side of the bay and gives the possibility to land and launch safely the kite.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=lc1","[{:month=>1, :stat=>91}, {:month=>2, :stat=>92}, {:month=>3, :stat=>93}, {:month=>4, :stat=>91}, {:month=>5, :stat=>92}, {:month=>6, :stat=>96}, {:month=>7, :stat=>92}, {:month=>8, :stat=>78}, {:month=>9, :stat=>62}, {:month=>10, :stat=>66}, {:month=>11, :stat=>76}, {:month=>12, :stat=>87}]"
"true","Cotton Bay ","Rodney Bay","Saint Lucia","14.0882","","The beach is a sandy beach. The launching area is good.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=lc2","[{:month=>1, :stat=>39}, {:month=>2, :stat=>42}, {:month=>3, :stat=>35}, {:month=>4, :stat=>40}, {:month=>5, :stat=>42}, {:month=>6, :stat=>45}, {:month=>7, :stat=>35}, {:month=>8, :stat=>25}, {:month=>9, :stat=>15}, {:month=>10, :stat=>17}, {:month=>11, :stat=>18}, {:month=>12, :stat=>29}]"
"true","Grand Anse ","Marquis","Saint Lucia","14.0059","","Leather back sea turtles are breeding during the summer months - as the site is a nature preserve park it may be not advised to kite during the breeding season May to September.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=lc2","[{:month=>1, :stat=>39}, {:month=>2, :stat=>42}, {:month=>3, :stat=>35}, {:month=>4, :stat=>40}, {:month=>5, :stat=>42}, {:month=>6, :stat=>45}, {:month=>7, :stat=>35}, {:month=>8, :stat=>25}, {:month=>9, :stat=>15}, {:month=>10, :stat=>17}, {:month=>11, :stat=>18}, {:month=>12, :stat=>29}]"
"false","Union Island ","Ashton","Saint Vincent and the Grenadines","12.5848","","Very small launch spot but makes up for on the water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Canouan ","Charleston","Saint Vincent and the Grenadines","12.7114","","Big beach with sand and grass.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Tobago Cays ","Mayreau","Saint Vincent and the Grenadines","12.6332","","Small sandy beaches can be found on the 4 islands.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Union Island ","Clifton","Saint Vincent and the Grenadines","12.5987","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Mayreau ","Mayreau","Saint Vincent and the Grenadines","12.648","","Nice white sandy beach. Very narrow on the west facing beach, a bit wider on the east facing beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Petit Tabac Island ","Mayreau","Saint Vincent and the Grenadines","12.623","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Mopion Island ","","Saint Vincent and the Grenadines","12.5463","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Moonhole ","Bequia Airport","Saint Vincent and the Grenadines","12.9914","","The beach is very narrow and it is hard to launch the kite properly. I always used to start the kite Russian style as this was the only way to avoid starting while swimming.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"false","Spring Bay ","Port Elizabeth","Saint Vincent and the Grenadines","13.0211","","As the wind is onshore and the palms are very near you will have to launch the kite in the water - however the bay is very shallow and it is no problem to launch wading.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vc2","[{:month=>1, :stat=>38}, {:month=>2, :stat=>50}, {:month=>3, :stat=>99}, {:month=>4, :stat=>99}, {:month=>5, :stat=>67}, {:month=>6, :stat=>70}]"
"true","Trinidad ","Saint Margaret","Trinidad and Tobago","10.2414","","Mayaro Bay has the longest beach in Trinidad. Lots of space. Nice soft sand.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tt2","[{:month=>1, :stat=>49}, {:month=>2, :stat=>55}, {:month=>3, :stat=>56}, {:month=>4, :stat=>58}, {:month=>5, :stat=>52}, {:month=>6, :stat=>47}, {:month=>7, :stat=>34}, {:month=>8, :stat=>20}, {:month=>9, :stat=>17}, {:month=>10, :stat=>21}, {:month=>11, :stat=>26}, {:month=>12, :stat=>39}]"
"true","Tobago ","Tobago Crown Point","Trinidad and Tobago","11.1733","","Beautiful paradise white beach. Entrance fee (3 USD).","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tt1","[{:month=>1, :stat=>54}, {:month=>2, :stat=>60}, {:month=>3, :stat=>69}, {:month=>4, :stat=>73}, {:month=>5, :stat=>72}, {:month=>6, :stat=>66}, {:month=>7, :stat=>50}, {:month=>8, :stat=>38}, {:month=>9, :stat=>38}, {:month=>10, :stat=>41}, {:month=>11, :stat=>43}, {:month=>12, :stat=>45}]"
"true","Trinidad ","San Francique","Trinidad and Tobago","10.0604","","Sandy beach. Plenty of room at low tide, high tide you may need help launching from car park. Local kiters and windsurfers are very friendly and helpful. Crowded with drunk swimmers at weekends.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tt2","[{:month=>1, :stat=>49}, {:month=>2, :stat=>55}, {:month=>3, :stat=>56}, {:month=>4, :stat=>58}, {:month=>5, :stat=>52}, {:month=>6, :stat=>47}, {:month=>7, :stat=>34}, {:month=>8, :stat=>20}, {:month=>9, :stat=>17}, {:month=>10, :stat=>21}, {:month=>11, :stat=>26}, {:month=>12, :stat=>39}]"
"true","Tobago ","Lambeau","Trinidad and Tobago","11.1582","","Long sandy beach with a few shells, usually wider around the river mouth. Best at low tide but incoming and outgoing tides are ok too. If tide is extremely high kites can be launched/landed on parking lot (watch out for cars, trees and power lines in the back).","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tt1","[{:month=>1, :stat=>54}, {:month=>2, :stat=>60}, {:month=>3, :stat=>69}, {:month=>4, :stat=>73}, {:month=>5, :stat=>72}, {:month=>6, :stat=>66}, {:month=>7, :stat=>50}, {:month=>8, :stat=>38}, {:month=>9, :stat=>38}, {:month=>10, :stat=>41}, {:month=>11, :stat=>43}, {:month=>12, :stat=>45}]"
"false","Trinidad ","","Trinidad and Tobago","10.6868","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tt2","[{:month=>1, :stat=>49}, {:month=>2, :stat=>55}, {:month=>3, :stat=>56}, {:month=>4, :stat=>58}, {:month=>5, :stat=>52}, {:month=>6, :stat=>47}, {:month=>7, :stat=>34}, {:month=>8, :stat=>20}, {:month=>9, :stat=>17}, {:month=>10, :stat=>21}, {:month=>11, :stat=>26}, {:month=>12, :stat=>39}]"
"true","Providenciales ","Five Cays Settlements, Leeward","Turks and Caicos Islands","21.7811","","The beach is long, wide and sandy, making it ideal for beginners and self launching. It is important that one launches from Kite Beach because further down the beach the break is covered with broken conch shells. The location is very remote, quite possible to be the only one on the beach during a windy day. The beach stretches for miles, yet there are only a few homes located on the beach. Wild dogs roam the beach and the local rancher walks his horses on the beach in the early morning.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Providenciales ","Leeward, Grace Bay","Turks and Caicos Islands","21.8271","","Sandy beach with lots of space. Beach can be littered with Conch shells which easily damage your kite. If you are going to ride the waves to the NE be careful of shallow coral reef.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Providenciales ","Long Bay, Grace Bay, Leeward","Turks and Caicos Islands","21.7616","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Providenciales ","Five Cays Settlements","Turks and Caicos Islands","21.7932","","10km long, sandy beach with lots of space. Many resorts along the beach with sunbathers, just move out of their way.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","North Caicos ","Five Cays Settlements","Turks and Caicos Islands","21.9362","","Long sandy beach. Sunbathers in front of the resort.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Providenciales ","Providenciales","Turks and Caicos Islands","21.755","","Great launching area at the south end of the Five Cays beach, next to a cafe.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Long Bay ","Five Cays Settlements, Leeward","Turks and Caicos Islands","21.7807","","4km long, sandy beach with lots of space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=tc1","[{:month=>1, :stat=>44}, {:month=>2, :stat=>44}, {:month=>3, :stat=>47}, {:month=>4, :stat=>49}, {:month=>5, :stat=>40}, {:month=>6, :stat=>41}, {:month=>7, :stat=>55}, {:month=>8, :stat=>48}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>37}, {:month=>12, :stat=>39}]"
"true","Eustacia Island Beach ","Bitter End Yacht Club","Virgin Islands (British)","18.5088","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=vg1","[{:month=>1, :stat=>28}, {:month=>2, :stat=>31}, {:month=>3, :stat=>25}, {:month=>4, :stat=>26}, {:month=>5, :stat=>26}, {:month=>6, :stat=>33}, {:month=>7, :stat=>45}, {:month=>8, :stat=>30}, {:month=>9, :stat=>19}, {:month=>10, :stat=>18}, {:month=>11, :stat=>14}, {:month=>12, :stat=>31}]"
