"state","name","city","country","lat","lng","description","wndfinder_link","stat[]"
"true","Crissy Field ","San Francisco","California (USA)","37.8052","","Sandy beach with a grassy rigging area. The beach is almost always packed with people with small children and dogs. Rigging on the lawn is OK.The best place to launch is on the west side (GG side) of the lagoon (less people and upwind of the windsurfers). The wind can be very light on the beach. Keeping the kite in the air can be challenging, and luffing into the air is a major concern. Also, your kite can fall out of the sky as winds drop to zero. Hence, be aware of people and get off the beach asap. Stick close to the beach until you are comfortable enough to head out the GG Bridge.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us99","[{:month=>1, :stat=>18}, {:month=>2, :stat=>10}, {:month=>3, :stat=>13}, {:month=>4, :stat=>20}, {:month=>5, :stat=>26}, {:month=>6, :stat=>28}, {:month=>7, :stat=>18}, {:month=>8, :stat=>20}, {:month=>9, :stat=>21}, {:month=>10, :stat=>12}, {:month=>11, :stat=>9}, {:month=>12, :stat=>14}]"
"true","Coronado Island ","Coronado, Imperial Beach","California (USA)","32.6327","","Big wide sandy beach. Dave's is the spot by the ranger station as you come into the Strand State Beach Park. It's good for beginners because you can go downwind forever and most intermediate or advanced kiters won't be in your way, they're upwind. Can get packed in summer with beach goers. Go south of the flag.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us128","[{:month=>1, :stat=>11}, {:month=>2, :stat=>13}, {:month=>3, :stat=>17}, {:month=>4, :stat=>22}, {:month=>5, :stat=>22}, {:month=>6, :stat=>19}, {:month=>7, :stat=>15}, {:month=>8, :stat=>15}, {:month=>9, :stat=>15}, {:month=>10, :stat=>12}, {:month=>11, :stat=>12}, {:month=>12, :stat=>13}]"
"true","Ave ","San Mateo","California (USA)","37.5734","","Two beaches, small beach by parking lot. Larger (Mud Flats) 3 minute walk from parking, with a lot a debris around (rocks, concrete). On low tides there are a few more beaches downwind.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us101","[{:month=>1, :stat=>8}, {:month=>2, :stat=>10}, {:month=>3, :stat=>12}, {:month=>4, :stat=>24}, {:month=>5, :stat=>30}, {:month=>6, :stat=>26}, {:month=>7, :stat=>17}, {:month=>8, :stat=>20}, {:month=>9, :stat=>13}, {:month=>10, :stat=>8}, {:month=>11, :stat=>7}, {:month=>12, :stat=>7}]"
"true","Waddell Creek ","Half Moon Bay, Santa Cruz","California (USA)","37.0938","","Long sandy beach. Lots of space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us412","[{:month=>1, :stat=>4}, {:month=>2, :stat=>3}, {:month=>3, :stat=>4}, {:month=>4, :stat=>3}, {:month=>5, :stat=>1}, {:month=>6, :stat=>2}, {:month=>7, :stat=>1}, {:month=>8, :stat=>1}, {:month=>9, :stat=>0}, {:month=>10, :stat=>1}, {:month=>11, :stat=>1}, {:month=>12, :stat=>2}]"
"true","Belmont Shore ","Belmont Shore","California (USA)","33.7519","","Long, sandy, wide beach, with acres of nice soft sand. Plenty of space (as long as you don't mind launching a bit upwind or downwind of any summer weekend crowds). No grass.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us125","[{:month=>1, :stat=>4}, {:month=>2, :stat=>5}, {:month=>3, :stat=>9}, {:month=>4, :stat=>10}, {:month=>5, :stat=>8}, {:month=>6, :stat=>3}, {:month=>7, :stat=>3}, {:month=>8, :stat=>3}, {:month=>9, :stat=>5}, {:month=>10, :stat=>4}, {:month=>11, :stat=>5}, {:month=>12, :stat=>8}]"
"true","Alameda Beach ","Alameda","California (USA)","37.764","","1 mile of soft sand beach. Large regulated kite launch and landing area. Please respect posted rules so that we do not lose access. When in doubt please ask for help. Everyone that kites here is friendly and will offer to help land or launch your kite safely. Quite crowded in summer. Some rocks just downwind of launch (marked). Launch area is compact and congested, but works OK. The beach is narrow and small for the number of kiteboarders that may show up. Adherence to the rules makes this launch safe for all.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us100","[{:month=>1, :stat=>9}, {:month=>2, :stat=>13}, {:month=>3, :stat=>9}, {:month=>4, :stat=>13}, {:month=>5, :stat=>10}, {:month=>6, :stat=>9}, {:month=>7, :stat=>4}, {:month=>8, :stat=>3}, {:month=>9, :stat=>4}, {:month=>10, :stat=>5}, {:month=>11, :stat=>7}, {:month=>12, :stat=>9}]"
"true","Pismo Beach ","San Luis Obispo","California (USA)","35.1357","","Long, soft, sandy beach. No rocks, no shells, no grass, no concrete. When it is windy, no one on the beach. You can drive and camp on the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us265","[{:month=>1, :stat=>3}, {:month=>2, :stat=>6}, {:month=>3, :stat=>6}, {:month=>4, :stat=>11}, {:month=>5, :stat=>10}, {:month=>6, :stat=>7}, {:month=>7, :stat=>2}, {:month=>8, :stat=>3}, {:month=>9, :stat=>2}, {:month=>10, :stat=>4}, {:month=>11, :stat=>2}, {:month=>12, :stat=>2}]"
"true","Lake Tahoe ","Incline Village, Kings Beach","California (USA)","39.2358","","You should launch as close to the pier as possible on the far right side of the beach. Be cautious of people and children on the beach. Ask for help. The launch is a nice sandy beach but small. There are houses directly down wind of you. There is no room for error when launching here. There is a really nice grassy area to blow your kite up and then it's a very short walk to the beach. Launch area is rather small and full of civilians. Use caution.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us263","[{:month=>1, :stat=>2}, {:month=>2, :stat=>2}, {:month=>3, :stat=>2}, {:month=>4, :stat=>3}, {:month=>5, :stat=>2}, {:month=>6, :stat=>1}, {:month=>7, :stat=>0}, {:month=>8, :stat=>1}, {:month=>9, :stat=>1}, {:month=>10, :stat=>1}, {:month=>11, :stat=>2}, {:month=>12, :stat=>1}]"
"true","Street Ventura ","Ventura","California (USA)","34.2734","","Cobblestone beach with patches of sand. It's full of rocks and wood on the beach. Launching and starting area is really small. Respect the surfers as they are prone to having words with kiters in the parking lot if they are disrespected.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us123","[{:month=>1, :stat=>19}, {:month=>2, :stat=>16}, {:month=>3, :stat=>20}, {:month=>4, :stat=>23}, {:month=>5, :stat=>24}, {:month=>6, :stat=>16}, {:month=>7, :stat=>17}, {:month=>8, :stat=>18}, {:month=>9, :stat=>15}, {:month=>10, :stat=>14}, {:month=>11, :stat=>17}, {:month=>12, :stat=>16}]"
"true","Sunset Beach ","Huntington Beach, Long Beach","California (USA)","33.7178","","The beach is sandy and clean, although there could be some debris such as pieces of small wood buried in the sand. There could also be some shells, specially when tide is low. The beach is about 200 feet wide but you must keep your kite at least 100 feet away from homes. Entry and exit between Broadway and 16th St. On a good day there could be up to 40 kiters on this beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us215","[{:month=>1, :stat=>1}, {:month=>2, :stat=>1}, {:month=>3, :stat=>3}, {:month=>4, :stat=>3}, {:month=>5, :stat=>2}, {:month=>6, :stat=>1}, {:month=>7, :stat=>1}, {:month=>8, :stat=>1}, {:month=>9, :stat=>1}, {:month=>10, :stat=>1}, {:month=>11, :stat=>1}, {:month=>12, :stat=>2}]"
"true","Lake Ontario ","Toronto","Canada","43.6369","","Pump up and launch on a SW near the open end of the bay at the far end of the sand. The beach is narrow and divided by obstacles notably: the lifeguard tower and power line. If you get blown downwind past the lifeguard tower do not attempt to walk back upwind past the tower and power line. This is extremely dangerous. Cherry is not recommended for beginners due to the limited launch and landing zones. The beach is sandy and about 30m wide, with pebbles close to the shoreline. There are large trees beyond the beach area. Beach is generally not too crowded but caution should be exercised when there are civilians walking on the beach. Cherry Beach sits inside the mouth of a deep bay. The mouth of the bay faces the SW. In a SW (or SE) you would reach across the bay to the other side and back (about 700 metres).","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca2","[{:month=>1, :stat=>51}, {:month=>2, :stat=>47}, {:month=>3, :stat=>44}, {:month=>4, :stat=>47}, {:month=>5, :stat=>33}, {:month=>6, :stat=>27}, {:month=>7, :stat=>17}, {:month=>8, :stat=>18}, {:month=>9, :stat=>23}, {:month=>10, :stat=>37}, {:month=>11, :stat=>38}, {:month=>12, :stat=>45}]"
"true","Georgian Bay ","Wasaga Beach, Allenwood Beach","Canada","44.5692","","Huge beach. Soft sand with little bits of rock here and there. Very user friendly. Worlds longest freshwater beach, more than 15 km of pure sand beach, about 50+m wide, with very few rocks. Launch area is clear and sandy, lots of room to launch.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca12","[{:month=>1, :stat=>18}, {:month=>2, :stat=>22}, {:month=>3, :stat=>28}, {:month=>4, :stat=>28}, {:month=>5, :stat=>15}, {:month=>6, :stat=>9}, {:month=>7, :stat=>8}, {:month=>8, :stat=>9}, {:month=>9, :stat=>10}, {:month=>10, :stat=>15}, {:month=>11, :stat=>16}, {:month=>12, :stat=>19}]"
"true","Tsawwassen Ferry Terminal ","Vancouver","Canada","49.0232","","Stones, logs, when the tide is out, lots of seaweed, but once you're on the water, it's excellent. Old logs on the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca30","[{:month=>1, :stat=>0}, {:month=>2, :stat=>0}, {:month=>3, :stat=>0}, {:month=>4, :stat=>0}, {:month=>5, :stat=>0}, {:month=>6, :stat=>0}, {:month=>7, :stat=>0}, {:month=>8, :stat=>0}, {:month=>9, :stat=>0}, {:month=>10, :stat=>0}, {:month=>11, :stat=>0}, {:month=>12, :stat=>0}]"
"false","Lake St","Belle River","Canada","42.297","","Long sandy beach. Lots of space.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us558","[{:month=>1, :stat=>57}, {:month=>2, :stat=>21}, {:month=>3, :stat=>25}, {:month=>4, :stat=>21}, {:month=>5, :stat=>24}, {:month=>6, :stat=>38}, {:month=>7, :stat=>52}, {:month=>8, :stat=>60}, {:month=>9, :stat=>79}, {:month=>10, :stat=>41}]"
"true","Lake Huron ","Owen Sound","Canada","44.6295","","Miles of beautiful natural sandy shores on the Bruce Peninsula in Southern Ontario.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca34","[{:month=>1, :stat=>31}, {:month=>2, :stat=>33}, {:month=>3, :stat=>27}, {:month=>4, :stat=>32}, {:month=>5, :stat=>20}, {:month=>6, :stat=>12}, {:month=>7, :stat=>11}, {:month=>8, :stat=>14}, {:month=>9, :stat=>17}, {:month=>10, :stat=>29}, {:month=>11, :stat=>32}, {:month=>12, :stat=>31}]"
"true","Squamish Spit ","Squamish","Canada","49.6856","","At low tide there is sandy beach but otherwise you are on a rocky jetty. Then assistance is required for launching and landing. Launch right at the Squamish River mouth from the spit that juts into Howe Sound.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca33","[{:month=>1, :stat=>3}, {:month=>2, :stat=>2}, {:month=>3, :stat=>2}, {:month=>4, :stat=>3}, {:month=>5, :stat=>2}, {:month=>6, :stat=>2}, {:month=>7, :stat=>2}, {:month=>8, :stat=>1}, {:month=>9, :stat=>1}, {:month=>10, :stat=>1}, {:month=>11, :stat=>2}, {:month=>12, :stat=>3}]"
"false","Lake Simcoe ","Beaverton","Canada","44.3548","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca37","[{:month=>1, :stat=>17}, {:month=>2, :stat=>21}, {:month=>3, :stat=>26}, {:month=>4, :stat=>29}, {:month=>5, :stat=>38}, {:month=>6, :stat=>57}, {:month=>7, :stat=>45}, {:month=>8, :stat=>60}, {:month=>9, :stat=>36}]"
"true","Vancouver Island ","Duncan, Malachan 11","Canada","48.8055","","The beach has some sand, pebbles and grass. A good safe launch with many kiters.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us254","[{:month=>1, :stat=>76}, {:month=>2, :stat=>64}, {:month=>3, :stat=>63}, {:month=>4, :stat=>45}, {:month=>5, :stat=>21}, {:month=>6, :stat=>11}, {:month=>7, :stat=>6}, {:month=>8, :stat=>5}, {:month=>9, :stat=>18}, {:month=>10, :stat=>51}, {:month=>11, :stat=>69}, {:month=>12, :stat=>69}]"
"true","Lake Erie ","Port Colborne","Canada","42.8642","","The beach is quite wide and easy to rig on, some times it becomes crowded with people, but there is usually some room as people don't often sit on the beach when its blowing.Also another bonus about the beach is that it is very wide and pure sand. However in the summer there is often seaweed that washes on shore and is a pain getting off the lines.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca9","[{:month=>1, :stat=>62}, {:month=>2, :stat=>53}, {:month=>3, :stat=>47}, {:month=>4, :stat=>43}, {:month=>5, :stat=>37}, {:month=>6, :stat=>33}, {:month=>7, :stat=>36}, {:month=>8, :stat=>37}, {:month=>9, :stat=>34}, {:month=>10, :stat=>46}, {:month=>11, :stat=>52}, {:month=>12, :stat=>54}]"
"true","Ile ","Shippagan, Lameque, Miscou","Canada","47.7244","","Easy access, nice open space, easy to launch and to land your kite. Nice beach with a bit of sea weed but the city is cleaning it.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=ca18","[{:month=>1, :stat=>47}, {:month=>2, :stat=>38}, {:month=>3, :stat=>42}, {:month=>4, :stat=>37}, {:month=>5, :stat=>29}, {:month=>6, :stat=>17}, {:month=>7, :stat=>11}, {:month=>8, :stat=>14}, {:month=>9, :stat=>20}, {:month=>10, :stat=>37}, {:month=>11, :stat=>37}, {:month=>12, :stat=>43}]"
"true","Williams Fork Reservoir ","Parshall","Colorado (USA)","40.0172","","","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us333","[{:month=>1, :stat=>11}, {:month=>2, :stat=>14}, {:month=>3, :stat=>17}, {:month=>4, :stat=>18}, {:month=>5, :stat=>14}, {:month=>6, :stat=>11}, {:month=>7, :stat=>8}, {:month=>8, :stat=>8}, {:month=>9, :stat=>8}, {:month=>10, :stat=>10}, {:month=>11, :stat=>12}, {:month=>12, :stat=>11}]"
"true","Aurora Reservoir ","Aurora","Colorado (USA)","39.6125","","Usually find some windsurfers at mainbeach and kiters at separate far NE beach. Kiters have self launch anchor installed if your solo. Small scrubs in kite rig area so watch for kite punctute or snag. Windsurf area is clean sand with grass near asphalt lot.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us332","[{:month=>1, :stat=>14}, {:month=>2, :stat=>18}, {:month=>3, :stat=>25}, {:month=>4, :stat=>28}, {:month=>5, :stat=>22}, {:month=>6, :stat=>21}, {:month=>7, :stat=>15}, {:month=>8, :stat=>14}, {:month=>9, :stat=>11}, {:month=>10, :stat=>15}, {:month=>11, :stat=>17}, {:month=>12, :stat=>16}]"
"true","Calf Pasture Beach ","Norwalk","Connecticut (USA)","41.0844","","The beach is 33 acres, rather large for the area. The sand is very high quality though some small rocks may wash ashore during the off season but that is quite minor. The wealthy town of Norwalk rakes the beach daily during the summer to make their tax payers happy. One particular thing about this beach that is very pleasant is that first and foremost they are very kite-friendly. The administrators with the Park and Rec Department claim that kiters are treated like boaters, therefore they may launch without any problem as `close to the sailing school as possible,` which is very easy.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us180","[{:month=>1, :stat=>51}, {:month=>2, :stat=>49}, {:month=>3, :stat=>46}, {:month=>4, :stat=>38}, {:month=>5, :stat=>26}, {:month=>6, :stat=>20}, {:month=>7, :stat=>15}, {:month=>8, :stat=>20}, {:month=>9, :stat=>35}, {:month=>10, :stat=>47}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
"true","Walnut Beach ","Milford (CT)","Connecticut (USA)","41.1958","","Most wide open public beach in western CT. Jetties and piers exist, but other than that the beach is over 1 mile long. The beach is generally sandy with decent width. Watch out for some rocks (mainly sandy) and some shells.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us190","[{:month=>1, :stat=>35}, {:month=>2, :stat=>39}, {:month=>3, :stat=>38}, {:month=>4, :stat=>42}, {:month=>5, :stat=>30}, {:month=>6, :stat=>23}, {:month=>7, :stat=>14}, {:month=>8, :stat=>18}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>28}, {:month=>12, :stat=>30}]"
"true","Todd","Old Greenwich","Connecticut (USA)","41.0072","","It is all shells and rocks, wear booties or have some real tough feet. Don't land your kite on the beach. Bring it across the road to the grassy field where it says windsurfer crossing.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us180","[{:month=>1, :stat=>51}, {:month=>2, :stat=>49}, {:month=>3, :stat=>46}, {:month=>4, :stat=>38}, {:month=>5, :stat=>26}, {:month=>6, :stat=>20}, {:month=>7, :stat=>15}, {:month=>8, :stat=>20}, {:month=>9, :stat=>35}, {:month=>10, :stat=>47}, {:month=>11, :stat=>47}, {:month=>12, :stat=>53}]"
"true","Jennings Beach ","Fairfield","Connecticut (USA)","41.1422","","Big sandy beach. To the north many boats stored on the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us190","[{:month=>1, :stat=>35}, {:month=>2, :stat=>39}, {:month=>3, :stat=>38}, {:month=>4, :stat=>42}, {:month=>5, :stat=>30}, {:month=>6, :stat=>23}, {:month=>7, :stat=>14}, {:month=>8, :stat=>18}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>28}, {:month=>12, :stat=>30}]"
"true","West Heaven ","New Haven","Connecticut (USA)","41.2613","","Sandy beach with grass next to it.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us197","[{:month=>1, :stat=>22}, {:month=>2, :stat=>26}, {:month=>3, :stat=>24}, {:month=>4, :stat=>25}, {:month=>5, :stat=>12}, {:month=>6, :stat=>9}, {:month=>7, :stat=>5}, {:month=>8, :stat=>7}, {:month=>9, :stat=>11}, {:month=>10, :stat=>18}, {:month=>11, :stat=>19}, {:month=>12, :stat=>17}]"
"true","Old Saybrook ","New Haven","Connecticut (USA)","41.2866","","Small access with grass, little bit of sand and rocks. Not for beginners.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us480","[{:month=>1, :stat=>16}, {:month=>2, :stat=>13}, {:month=>3, :stat=>12}, {:month=>4, :stat=>8}, {:month=>5, :stat=>4}, {:month=>6, :stat=>2}, {:month=>7, :stat=>1}, {:month=>8, :stat=>1}, {:month=>9, :stat=>3}, {:month=>10, :stat=>7}, {:month=>11, :stat=>10}, {:month=>12, :stat=>12}]"
"true","Sherwood Island State Park ","Greens Farms","Connecticut (USA)","41.1116","","Nice, sandy beach. Very packed during summer with beach goers.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us190","[{:month=>1, :stat=>35}, {:month=>2, :stat=>39}, {:month=>3, :stat=>38}, {:month=>4, :stat=>42}, {:month=>5, :stat=>30}, {:month=>6, :stat=>23}, {:month=>7, :stat=>14}, {:month=>8, :stat=>18}, {:month=>9, :stat=>23}, {:month=>10, :stat=>31}, {:month=>11, :stat=>28}, {:month=>12, :stat=>30}]"
"true","Barn Island ","Stonington","Connecticut (USA)","41.3304","","This is a public boat launch, free, with a big grassy area for rigging by the water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us474","[{:month=>1, :stat=>23}, {:month=>2, :stat=>28}, {:month=>3, :stat=>29}, {:month=>4, :stat=>30}, {:month=>5, :stat=>16}, {:month=>6, :stat=>12}, {:month=>7, :stat=>8}, {:month=>8, :stat=>11}, {:month=>9, :stat=>12}, {:month=>10, :stat=>20}, {:month=>11, :stat=>20}, {:month=>12, :stat=>21}]"
"true","Hammonasset State Park ","New Haven, Clinton","Connecticut (USA)","41.2494","","Sandy beach with enough space. Many beach goers during summer.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us191","[{:month=>1, :stat=>62}, {:month=>2, :stat=>59}, {:month=>3, :stat=>54}, {:month=>4, :stat=>39}, {:month=>5, :stat=>26}, {:month=>6, :stat=>25}, {:month=>7, :stat=>21}, {:month=>8, :stat=>33}, {:month=>9, :stat=>41}, {:month=>10, :stat=>55}, {:month=>11, :stat=>61}, {:month=>12, :stat=>65}]"
"true","Delaware Seashore State Park ","Dewey Beach","Delaware (USA)","38.677","","Wide beach. Nice ocean spot to launch. Can be crowded with sunbathers in the summer. Further south permit vehicle access is allowed but there may be some odd rule about this being for surf-fishing only, thus no swimming or kite launching - read posted signs.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us493","[{:month=>1, :stat=>1}, {:month=>2, :stat=>1}, {:month=>3, :stat=>1}, {:month=>4, :stat=>1}, {:month=>5, :stat=>1}, {:month=>6, :stat=>0}, {:month=>7, :stat=>0}, {:month=>8, :stat=>0}, {:month=>9, :stat=>0}, {:month=>10, :stat=>1}, {:month=>11, :stat=>1}, {:month=>12, :stat=>2}]"
"true","Delaware Seashore State Park ","Dewey Beach","Delaware (USA)","38.6704","","Small sandy beach. Can be packed.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us493","[{:month=>1, :stat=>1}, {:month=>2, :stat=>1}, {:month=>3, :stat=>1}, {:month=>4, :stat=>1}, {:month=>5, :stat=>1}, {:month=>6, :stat=>0}, {:month=>7, :stat=>0}, {:month=>8, :stat=>0}, {:month=>9, :stat=>0}, {:month=>10, :stat=>1}, {:month=>11, :stat=>1}, {:month=>12, :stat=>2}]"
"true","Key Biscayne ","Miami","Florida (USA)","25.7152","","Nice soft sand, beach is 10-15m wide, but just bushes behind the beach. There is enough space to land/launch set up. Just a 150m hike from the parking to the beach.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us13","[{:month=>1, :stat=>24}, {:month=>2, :stat=>23}, {:month=>3, :stat=>40}, {:month=>4, :stat=>39}, {:month=>5, :stat=>35}, {:month=>6, :stat=>24}, {:month=>7, :stat=>17}, {:month=>8, :stat=>17}, {:month=>9, :stat=>15}, {:month=>10, :stat=>26}, {:month=>11, :stat=>28}, {:month=>12, :stat=>30}]"
"true","Matheson Hammock Park ","Coral Gables","Florida (USA)","25.6801","","Pebbles and rocks. When the tide is out the launching area is wider and softer. It is dangers to launch when it's NE onshore in high gusty winds especially in high tide in a limited space next to the parking lot, the trees and the rocks. Launch with everyone standing in the water.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us13","[{:month=>1, :stat=>24}, {:month=>2, :stat=>23}, {:month=>3, :stat=>40}, {:month=>4, :stat=>39}, {:month=>5, :stat=>35}, {:month=>6, :stat=>24}, {:month=>7, :stat=>17}, {:month=>8, :stat=>17}, {:month=>9, :stat=>15}, {:month=>10, :stat=>26}, {:month=>11, :stat=>28}, {:month=>12, :stat=>30}]"
"true","Cocoa Beach ","Cape Canaveral","Florida (USA)","28.3077","","Nice wide white sandy beach, with some sea oats to tangle your lines. Easy launch with no rocks, just miles of sandy beach. Please stay away from the city and county beaches for launching. If yellow flags are on the beach it is a guarded beach for swimming.","https://www.windfinder.com/wind-cgi/homepagestatistics.pl?STATIONSNR=us6","[{:month=>1, :stat=>36}, {:month=>2, :stat=>37}, {:month=>3, :stat=>43}, {:month=>4, :stat=>44}, {:month=>5, :stat=>40}, {:month=>6, :stat=>30}, {:month=>7, :stat=>21}, {:month=>8, :stat=>24}, {:month=>9, :stat=>25}, {:month=>10, :stat=>41}, {:month=>11, :stat=>43}, {:month=>12, :stat=>33}]"
